artist,album,track
Nina Simone,New World Coming,How Long Must I Wonder
UGK,Dirty Money,Wood Wheel
Sango,In The Comfort Of,Dance for Blessings
Sango,Da Rocinha 3,Na Hora (feat. Faktiss & Chris MC Clenney)
Run The Jewels,Run the Jewels 3,A Report to the Shareholders / Kill Your Masters
Mirah,Changing Light,Oxen Hope
Björk,Interview With Björk,Interview With Björk
Beirut,The Flying Club Cup,La Banlieue
Big K.R.I.T.,TDT,Energy
Kid Cudi,Man On The Moon: The End Of Day,Pursuit Of Happiness (Nightmare)
Nirvana,MTV Unplugged In New York,Dumb
Tori Amos,The Light Princess,Bitter Fate
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Black Lake
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Notget
Taylor Swift,reputation,Dress
Tacocat,This Mess Is a Place,Miles and Miles
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Be Wherever You Are
Run The Jewels,Run the Jewels 3,2100 (feat. BOOTS)
Mitski,Bury Me At Makeout Creek,Texas Reznikoff
T.I.,Us Or Else: Letter To The System,40 Acres
T.I.,Us Or Else: Letter To The System,Ah No No
Mitski,"Retired from Sad, New Career in Business","Goodbye, My Danish Sweetheart"
Sango,Da Rocinha 3,É Isso Aí (feat. Carlos)
Lotte Kestner,The Bluebird of Happiness,String
Taylor Swift,Lover,It’s Nice To Have A Friend
Zoe Lister-Jones,"The Dirty Dishes EP (Original Songs from the Motion Picture ""Band Aid"")",Desire
Sango,In The Comfort Of,Implications
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Let Me Drive My Van into Your Heart
Jidenna,Boomerang,Out of Body (feat. Wale & Dot Cromwell)
Tori Amos,The Light Princess,The Gauntlet
Run The Jewels,Run the Jewels 3,Stay Gold
Björk,Vespertine,An Echo a Stain
The Jepettos,Closer - EP,Shimmer
Björk,Vulnicura,Notget
Cardi B,Invasion of Privacy,Bartier Cardi (feat. 21 Savage)
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Don't Cost Nothing
Lotte Kestner,The Bluebird of Happiness,The Bluebird of Happiness
Amanda Blank,I Love You,Leaving You Behind
Björk,Utopia,Features Creatures
Zoe Lister-Jones,"The Dirty Dishes EP (Original Songs from the Motion Picture ""Band Aid"")",I Don't Want to Fuck You
Kacey Musgraves,Same Trailer Different Park,I Miss You
